Subject,Sentence,Label
biology," However , those fields of science related to the physical world and its phenomena and processes are considered natural sciences .","  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  B-Term  I-Term  O"
biology," Deductive reasoning is a form of logical thinking that uses a general principle or law to forecast specific results .","  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," A variable is any part of the experiment that can vary or change during the experiment .","  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," The control group contains every feature of the experimental group except it is not given the manipulation that is hypothesized about .","  B-Term  I-Term  I-Term  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 14 . In contrast , applied science or “ technology , ” aims to use science to solve real - world problems , making it possible , for example , to improve a crop yield , find a cure for a particular disease , or save animals threatened by a natural disaster ( [ link ] ) .","  O  O  O  O  O  B-Term  I-Term  O  B-Alias-Term  I-Alias-Term  I-Alias-Term  I-Alias-Term  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  O  O"
biology," There are usually acknowledgment and reference sections as well as an abstract ( a concise summary ) at the beginning of the paper . There might be additional sections depending on the type of paper and the journal where it will be published ; for example , some review papers require an outline .","  O  O  O  O  O  O  O  O  O  O  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  O  O  O  O  O  O  O  O  B-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  O"
biology," 23 . Finally , the conclusion section summarizes the importance of the experimental findings .","  O  O  O  O  B-Term  I-Term  I-Term  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 29 . Some cells contain aggregates of macromolecules surrounded by membranes ; these are called organelles .","  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  B-Referential-Definition  O  O  B-Term  O"
biology," 32 . In larger organisms , cells combine to make tissues , which are groups of similar cells carrying out similar or related functions .","  O  O  O  O  O  O  O  O  O  O  B-Term  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Organs are collections of tissues grouped together performing a common function .","  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 35 . For instance , the circulatory system transports blood through the body and to and from the lungs ; it includes organs such as the heart and blood vessels .","  O  O  O  O  O  B-Term  I-Term  I-Term  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Organisms are individual living entities .","  B-Term  O  B-Definition  I-Definition  I-Definition  O"
biology," A phylogenetic tree is a diagram showing the evolutionary relationships among biological species based on similarities and differences in genetic or physical traits or both .","  B-Term  I-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 44 . Another field of biological study , neurobiology , studies the biology of the nervous system , and although it is considered a branch of biology , it is also recognized as an interdisciplinary field of study known as neuroscience .","  O  O  O  O  O  O  O  O  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 50 . An atom is composed of two regions : the nucleus , which is in the center of the atom and contains protons and neutrons , and the outermost region of the atom which holds its electrons in orbit around the nucleus , as illustrated in [ link ] .","  O  O  O  O  O  O  O  O  O  O  B-Term  I-Term  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O"
